# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 11 13:14:43 2022
#
# User preference: *
#
# CONSTRAINT:  where (st_nrvc <> 0)
# CONSTRAINT:  order by st_rotp desc, st_nrvc asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmerr1:      Total Proper Motion Upper Unc [mas/yr]
# COLUMN sy_pmerr2:      Total Proper Motion Lower Unc [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN st_nrvc:        Number of Radial Velocity Time Series
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,cb_flag,rv_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,glat,glon,sy_pm,sy_pmerr1,sy_pmerr2,sy_dist,sy_disterr1,sy_disterr2,st_nrvc
2138,HD 27894 c,HD 27894,1,1,0,1,Published Confirmed,0,36.07000000,0.26000000,-0.09000000,0,0.198000,0.001000,-0.001000,0,,,,,51.48846,3.49613,-12.71320,0,0.015000,0.020000,-0.002000,0,0.80,,,0,0.300,0.070,-0.070,0,[Fe/H],,,,,44.00,,,0,-42.00943,270.09987,325.7145651,0.0763298,-0.0763298,43.8214000,0.0593000,-0.0591000,1
2139,HD 27894 d,HD 27894,1,1,0,1,Published Confirmed,0,5174.00000000,171.00000000,-82.00000000,0,5.448000,0.119000,-0.058000,0,,,,,1721.04945,75.96137,-385.84562,0,0.389000,0.087000,-0.030000,0,0.80,,,0,0.300,0.070,-0.070,0,[Fe/H],,,,,44.00,,,0,-42.00943,270.09987,325.7145651,0.0763298,-0.0763298,43.8214000,0.0593000,-0.0591000,1
76,55 Cnc b,55 Cnc,0,2,0,1,Published Confirmed,0,14.64800000,0.00090000,-0.00090000,0,0.110000,,,0,,,,,266.97720,,,0,0.051000,0.013000,-0.013000,0,0.85,,,0,0.230,,,0,[Fe/H],5.000,,,0,44.00,,,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
2485,HD 73267 b,HD 73267,1,1,0,1,Published Confirmed,0,1245.36000000,2.81000000,-2.81000000,0,2.187000,0.016000,-0.016000,0,,,,,984.31951,13.98452,-13.66669,0,0.230000,0.014000,-0.014000,0,0.90,0.02,-0.02,0,0.070,0.040,-0.040,0,[Fe/H],8.140,3.505,-3.505,0,43.00,,,0,3.79235,255.08557,162.7198154,0.0422705,-0.0422705,50.4093000,0.0729000,-0.0726000,1
1657,HD 164922 b,HD 164922,1,1,0,1,Published Confirmed,0,1207.00000000,4.00000000,-5.00000000,0,2.160000,0.030000,-0.030000,0,,,,,116.00000,10.00000,-12.00000,0,0.080000,0.060000,-0.050000,0,0.93,0.03,-0.04,0,0.180,0.080,-0.080,0,[Fe/H],9.580,1.990,-1.550,0,42.30,1.30,-0.70,0,21.78318,52.29591,717.3643530,0.0406319,-0.0406319,22.0016000,0.0152000,-0.0151000,1
1661,HD 164922 c,HD 164922,1,1,0,1,Published Confirmed,0,75.74000000,0.06000000,-0.05000000,0,0.341000,0.004000,-0.004000,0,,,,,13.00000,3.00000,-2.00000,0,0.120000,0.110000,-0.090000,0,0.93,0.03,-0.04,0,0.180,0.080,-0.080,0,[Fe/H],9.580,1.990,-1.550,0,42.30,1.30,-0.70,0,21.78318,52.29591,717.3643530,0.0406319,-0.0406319,22.0016000,0.0152000,-0.0151000,1
1665,HD 164922 d,HD 164922,1,1,0,1,Published Confirmed,0,12.45800000,0.00300000,-0.00300000,0,0.103000,0.001000,-0.001000,0,,,,,4.00000,1.00000,-1.00000,0,0.120000,0.130000,-0.080000,0,0.93,0.03,-0.04,0,0.180,0.080,-0.080,0,[Fe/H],9.580,1.990,-1.550,0,42.30,1.30,-0.70,0,21.78318,52.29591,717.3643530,0.0406319,-0.0406319,22.0016000,0.0152000,-0.0151000,1
1840,HD 190647 b,HD 190647,1,1,0,1,Published Confirmed,0,1176.45000000,3.10000000,-2.83000000,0,2.231000,0.019000,-0.019000,0,,,,,630.89255,10.48839,-10.48839,0,0.224000,0.014000,-0.014000,0,1.07,0.03,-0.03,0,0.230,0.020,-0.020,0,[Fe/H],7.957,1.096,-1.096,0,42.00,,,0,-30.03255,5.66045,208.5650293,0.0535411,-0.0535411,54.4738000,0.1482000,-0.1475000,1
1503,HD 143361 b,HD 143361,1,1,0,1,Published Confirmed,0,1039.15000000,1.64000000,-1.70000000,0,1.988000,0.018000,-0.018000,0,,,,,1122.57556,20.65895,-20.97678,0,0.197000,0.006000,-0.006000,0,0.97,0.03,-0.03,0,0.140,0.060,-0.060,0,[Fe/H],2.942,2.749,-2.749,0,42.00,,,0,6.27404,334.96858,197.3479295,0.0954391,-0.0954391,68.5146000,0.2971000,-0.2946000,2
1349,HD 117207 b,HD 117207,1,1,0,1,Published Confirmed,0,2621.75000000,8.37000000,-8.53000000,0,3.787000,0.034000,-0.035000,0,,,,,612.14058,10.80622,-10.80622,0,0.157000,0.013000,-0.013000,0,1.05,0.03,-0.03,0,0.190,0.030,-0.030,0,[Fe/H],4.192,2.274,-2.274,0,39.00,,,0,26.66515,311.55142,218.0171086,0.0790426,-0.0790426,32.3547000,0.0524000,-0.0522000,2
68,55 Cnc b,55 Cnc,1,2,0,1,Published Confirmed,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,255.40000,2.90000,-2.90000,0,0.000000,0.010000,-0.010000,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],,,,,38.80,0.05,-0.05,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
79,55 Cnc c,55 Cnc,1,2,0,1,Published Confirmed,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,,,,,51.20000,1.30000,-1.30000,0,0.030000,0.020000,-0.020000,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],,,,,38.80,0.05,-0.05,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
91,55 Cnc d,55 Cnc,1,2,0,1,Published Confirmed,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,,,,,991.60000,30.70000,-33.10000,0,0.130000,0.020000,-0.020000,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],,,,,38.80,0.05,-0.05,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
105,55 Cnc e,55 Cnc,1,2,0,1,Published Confirmed,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,7.99000,0.32000,-0.33000,0,,,,,0.050000,0.030000,-0.030000,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],,,,,38.80,0.05,-0.05,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
112,55 Cnc f,55 Cnc,1,2,0,1,Published Confirmed,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,,,,,47.80000,2.40000,-2.40000,0,0.080000,0.050000,-0.040000,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],,,,,38.80,0.05,-0.05,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
69,55 Cnc b,55 Cnc,0,2,0,1,Published Confirmed,0,14.65300000,0.00060000,-0.00060000,0,0.115000,0.003000,-0.003000,0,,,,,266.97720,22.24810,-22.24810,0,0.020000,0.020000,-0.020000,0,0.95,,,0,0.270,,,0,[Fe/H],5.500,2.500,-2.500,0,38.50,3.50,-3.50,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
93,55 Cnc d,55 Cnc,0,2,0,1,Published Confirmed,0,5360.00000000,400.00000000,-400.00000000,0,5.900000,0.900000,-0.900000,0,,,,,1287.21150,127.13200,-127.13200,0,0.160000,0.060000,-0.060000,0,0.95,,,0,0.270,,,0,[Fe/H],5.500,2.500,-2.500,0,38.50,3.50,-3.50,0,37.69663,196.79526,539.1329986,0.1295797,-0.1295797,12.5855000,0.0124000,-0.0123000,9
2445,HD 66428 b,HD 66428,1,1,0,1,Published Confirmed,0,2263.12000000,6.13000000,-5.94000000,0,3.467000,0.024000,-0.024000,0,,,,,1018.32732,13.66669,-13.66669,0,0.493000,0.015000,-0.015000,0,1.08,0.02,-0.02,0,0.230,0.050,-0.050,0,[Fe/H],3.515,2.040,-2.040,0,38.00,,,0,15.41735,222.42686,217.1239644,0.0685527,-0.0685527,53.2817000,0.2180000,-0.2162000,1
1323,HD 114729 b,HD 114729,1,2,0,1,Published Confirmed,0,1121.79000000,3.53000000,-3.43000000,0,2.067000,0.010000,-0.010000,0,,,,,262.20975,2.22481,-2.22481,0,0.079000,0.029000,-0.032000,0,0.94,0.01,-0.01,0,-0.330,0.030,-0.030,0,[Fe/H],10.116,0.344,-0.344,0,34.00,,,0,30.77939,308.19408,367.3596313,0.0667203,-0.0667203,37.8063000,0.0518000,-0.0517000,2
2090,HD 23127 b,HD 23127,1,1,0,1,Published Confirmed,0,1211.17000000,11.11000000,-8.91000000,0,2.370000,0.032000,-0.032000,0,,,,,485.32641,11.75971,-12.07754,0,0.406000,0.083000,-0.090000,0,1.21,0.04,-0.04,0,0.290,0.030,-0.030,0,[Fe/H],4.508,0.788,-0.788,0,33.00,,,0,-46.48356,273.94190,160.7027565,0.0443228,-0.0443228,93.8555000,0.2059000,-0.2050000,1
2339,HD 45364 b,HD 45364,1,1,0,1,Published Confirmed,0,226.93000000,0.37000000,-0.37000000,0,0.681300,,,0,,,,,59.49530,,,0,0.168400,0.019000,-0.019000,0,0.82,0.05,-0.05,0,-0.170,0.010,-0.010,0,[Fe/H],,,,,32.00,,,0,-18.86685,239.35512,53.5273638,0.0446771,-0.0446771,34.3540000,0.0376000,-0.0375000,1
2340,HD 45364 c,HD 45364,1,1,0,1,Published Confirmed,0,342.85000000,0.28000000,-0.28000000,0,0.897200,,,0,,,,,209.09150,,,0,0.097400,0.012000,-0.012000,0,0.82,0.05,-0.05,0,-0.170,0.010,-0.010,0,[Fe/H],,,,,32.00,,,0,-18.86685,239.35512,53.5273638,0.0446771,-0.0446771,34.3540000,0.0376000,-0.0375000,1
2469,HD 70642 b,HD 70642,1,1,0,1,Published Confirmed,0,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,,,,,633.43519,5.72094,-5.72094,0,0.175000,0.044000,-0.044000,0,1.08,0.01,-0.01,0,0.220,0.020,-0.020,0,[Fe/H],0.919,0.733,-0.733,0,32.00,,,0,-1.67291,257.61105,302.2287869,0.0513139,-0.0513139,29.2760000,0.0276000,-0.0275000,2
2055,HD 219828 b,HD 219828,0,1,0,1,Published Confirmed,0,3.83488700,0.00009600,-0.00009600,0,0.045000,,,0,,,,,21.00000,1.40000,-1.40000,0,0.059000,0.036000,-0.036000,0,1.23,0.10,-0.10,0,0.190,0.030,-0.030,0,[Fe/H],,,,,31.70,0.80,-0.80,0,-39.01348,94.26579,7.8870329,0.1029825,-0.1029825,73.1140000,0.3570000,-0.3536000,1
2059,HD 219828 c,HD 219828,0,1,0,1,Published Confirmed,0,4791.00000000,75.00000000,-75.00000000,0,5.960000,,,0,,,,,4799.23300,270.15550,-270.15550,0,0.811500,0.003200,-0.003200,0,1.23,0.10,-0.10,0,0.190,0.030,-0.030,0,[Fe/H],,,,,31.70,0.80,-0.80,0,-39.01348,94.26579,7.8870329,0.1029825,-0.1029825,73.1140000,0.3570000,-0.3536000,1
1553,HD 152079 b,HD 152079,1,1,0,1,Published Confirmed,0,2918.92000000,37.87000000,-39.28000000,0,4.187000,0.051000,-0.053000,0,,,,,845.74563,14.62018,-14.62018,0,0.532000,0.015000,-0.016000,0,1.15,0.03,-0.03,0,0.290,0.070,-0.070,0,[Fe/H],1.622,1.369,-1.369,0,31.00,,,0,-1.56882,339.89168,142.2907224,0.0813921,-0.0813921,87.8888000,0.3583000,-0.3554000,1
2622,HD 92788 b,HD 92788,1,1,0,1,Published Confirmed,0,325.80300000,0.03652500,-0.03652500,0,0.970000,0.020000,-0.020000,0,,,,,1195.04080,50.85280,-47.67450,0,0.350000,0.004000,-0.005000,0,1.15,0.07,-0.07,0,0.270,0.020,-0.020,0,[Fe/H],2.550,1.510,-1.510,0,31.00,1.40,-1.40,0,47.35154,251.20809,223.7420083,0.0615734,-0.0615734,34.6538000,0.0597000,-0.0596000,5
2627,HD 92788 c,HD 92788,1,1,0,1,Published Confirmed,0,11611.29750000,5055.06000000,-905.82000000,0,10.500000,2.900000,-0.550000,0,,,,,1166.43610,95.34900,-79.45750,0,0.460000,0.120000,-0.030000,0,1.15,0.07,-0.07,0,0.270,0.020,-0.020,0,[Fe/H],2.550,1.510,-1.510,0,31.00,1.40,-1.40,0,47.35154,251.20809,223.7420083,0.0615734,-0.0615734,34.6538000,0.0597000,-0.0596000,5
698,HAT-P-11 b,HAT-P-11,0,1,0,1,Published Confirmed,0,4.88780490,0.00000130,-0.00000130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50,4.10,-3.20,0,10.77239,81.83486,264.8686021,0.0440369,-0.0440369,37.7647000,0.0337000,-0.0336000,1
1998,HD 216437 b,HD 216437,1,1,0,1,Published Confirmed,0,1334.28000000,13.07000000,-13.36000000,0,2.497000,0.036000,-0.037000,0,,,,,706.53609,18.43414,-18.43414,0,0.317000,0.028000,-0.027000,0,1.17,0.05,-0.05,0,0.200,0.100,-0.100,0,[Fe/H],4.750,1.059,-1.059,0,30.00,,,0,-43.90561,316.27280,84.9908695,0.0772448,-0.0772448,26.6902000,0.0322000,-0.0321000,3
64,51 Peg b,51 Peg,0,1,0,1,Published Confirmed,0,4.22930000,0.00110000,-0.00110000,0,,,,,,,,,149.38010,6.35660,-6.35660,0,0.000000,,,0,,,,,0.200,,,0,[M/H],10.000,,,0,30.00,,,0,-34.72750,90.06374,216.4603396,0.2040787,-0.2040787,15.4614000,0.0297000,-0.0297000,5
705,HAT-P-11 b,HAT-P-11,1,1,0,1,Published Confirmed,0,4.88780244,,,0,0.052540,0.000640,-0.000660,0,,,,,23.40000,1.50000,-1.50000,0,0.218000,0.034000,-0.031000,0,0.81,0.02,-0.03,0,0.310,0.050,-0.050,0,[Fe/H],6.500,5.900,-4.100,0,29.20,,,0,10.77239,81.83486,264.8686021,0.0440369,-0.0440369,37.7647000,0.0337000,-0.0336000,1
714,HAT-P-11 c,HAT-P-11,1,1,0,1,Published Confirmed,0,3407.00000000,360.00000000,-190.00000000,0,4.130000,0.290000,-0.160000,0,,,,,507.00000,30.00000,-27.00000,0,0.601000,0.032000,-0.031000,0,0.81,0.02,-0.03,0,0.310,0.050,-0.050,0,[Fe/H],6.500,5.900,-4.100,0,29.20,,,0,10.77239,81.83486,264.8686021,0.0440369,-0.0440369,37.7647000,0.0337000,-0.0336000,1
804,HAT-P-22 b,HAT-P-22,0,2,0,1,Published Confirmed,0,3.21223328,0.00000058,-0.00000058,0,0.041710,0.000650,-0.000650,0,696.68336,24.47291,-24.47291,0,,,,,,,,,0.94,0.04,-0.04,0,0.300,0.090,-0.090,0,[Fe/H],9.000,4.000,-3.700,0,28.70,0.40,-0.40,0,53.56645,163.64677,87.7253495,0.0656480,-0.0656480,81.7647000,0.2505000,-0.2489000,1
